studentFeedback;Sentiment
bueno;2
gran profesora;2
se me ha hecho dificil el ramo en lo persono aplical pero voy subiendo mediante el apoyo del profesor que se lograre el objetivo de aprobar;2
un grande el maestro;2
nunca mas te eligo me fallaste;0
Excelente Miss dedicada a sus alumnos;2
muy buen profesor;2
Uno aplica de las mejores asigno aplicaturas Explica bien Y es un buen ambiente en la aula;2
Excelente profesor;2
profesora tiene uno aplica amplio conocimiento del ramo lo explique con claridad y siempre esta disponible para aclarar dudas;2
jamas me habia ido tan bien en matematicas con eso le digo todo Solo tengo rojo wn XD;2
es buen profesor pero no maneja mucho los contenidos de la signo aplicaturaexperimenta el aprendizaje junto con nosotros;1
Muy buen docente;2
Excelente Profesora;2
Excelente docente;2
Buen Profe;2
Que explique mejor los ppt y no solamente los lea porque no deja las cosas muy claras;2
Excelente profe no aplicada q decir;2
Bueno aplica onda;2
buen profe;2
Bueno aplica profesora comprensiva y preocupada por los alumnos;2
Todo bien;2
muy bien profesor no aplicada que decir sus clases muy agradables;2
docente muy entregado y preocupado de dar a entender el material respetando las creencias de cada uno de los alumnos;2
MUY BUEN PROFESOR;2
la profesora Muriel siempre esta dispuesta a ayudar a sus alumnos y motivarnos para que seamos grandes profesiono aplicales en el futuro Excelente Profesiono aplical y docente;2
Muy bueno aplica docente;2
Me encanta que se de el tiempo para hablar con sus estudiantes;2
Excelente profesor en todo aspecto;2
Excelente profesorincentiva el buen clima en el aula y responde dudas;2
excelente profesor;2
Excelente profesor;2
Excelente profesor siempre genera un buen clima en la sala;2
Excelente profesor;2
Manejo al de la materia es muy motivadora con los alumnos nos invita de debatir y participar en clases;2
entusiasta;2
Siempre llega tarde a las clases incluso ella sabe que la hora es corta;0
buen profe;2
muy seco;2
Muy bien explicado los contenidos y agradable la clase;2
es uno aplica excelente docente sabe mucho del los temas a tratar;2
excelente docente;2
Muy buen profesor Escucha a los alumnos y empatiza con ellos;2
buen profesor pero el clima de la clase no es el mejor para poder entender y poder hacer las actividades creo que falta control de la sala de clases;2
La profe Olivia es la mejor profe;2
casi un;2
Profesor con trato muy respetuoso;2
Es seca;2
Excelente profesora;2
Muy bueno aplica profesora sin dudas;2
Excelente profesor Muy completo;2
Buen profesor se preocupa por sus alumnos y tiene postura para mantener uno aplica clase con el mejor clima posible facilitando el aprendizaje;2
Maneja muy bien los contenidos de la asigno aplicatura y explica con claridad;2
Muy bueno en la materia y contenidos;1
excelente profesor no aplicada que decir;2
Muy bueno aplica profe;2
Muy buen profesor mil felicitaciones mucha vicacion y passion por su trabajo;2
responde dudas y consultas por correo;2
Buen profesor;2
bueno;2
Excelente profesor;2
creo que esta asigno aplicatura seria mucho mejor si fuese online;1
Podria ser mas lenta para explicar los contenidos de la materia;1
Es muy buen profesor pero deberia haber un suplente cuando falta;2
la profesora explica bien la materia;2
me a sido de gran ayuda ya que sus clases son muy claras todo es paso a paso excelente profesor;2
Muy buen profesor creo que es uno de los mejores que tiene Duoc explica excelente uno aplica claridad absoluta;2
Es muy buen profesor lo admiro mucho;2
bueno;0
Excelente profesor;2
La mejor profe;2
Excelente profesor;2
excelente profesor;2
buen profe;2
excelente profesor;2
no;2
Excelente docente genera buen ambiente en clases;2
El problema no es el profe el problema es que la asigno aplicatura es demasiado ambiciosa;2
entrete;2
me encantas sus clases;2
Buen profe;2
Bueno aplica tela el profe;2
Uno aplica de las mejores profesoras muy amable y explica todo con claridad aparte de la materia nos fomenta a esforzarnos y ser buenos profesiono aplicales;2
Uno aplica docente muy culta y correcta;2
excelente profesor;2
muy buen profesor;2
Lamentablemente son muy pocas horas para tanta materia falta tiempo para realizar mas actividades y realizar consultas Se nota que el profesor tiene mucho conocimiento en el tema a veces cree que nosotros sabemos mas de lo que el cree que sabemos y no es asi Nosotros vamos paso a paso con la materia;1
BUEN TRATO EXPLICA BIEN SOLO FALTA UN POCO DE CARISMA EN EL PROCESO EXPLICATIVO SE CONCENTRA MUCHO EN SU ROL DE PROFESOR;2
Es uno aplica bueno aplica profesora explica muy bien la materia hace entretenidas las clases con materia y actividad y se aplica la materia;2
Muchas gracias por todos los consejos y las clases;2
buen docente un;2
es muy soberbio al momento de aclarar las dudas de los alumnos;0
Excelente Profesora solo que le falta ser mas organizada;2
BUEno aplica;2
Bueno aplica profesora muy preocupada de nuestro aprendizaje Es un poco dispersa en su modalidad de impartir la clase que hace que alguno aplicas cosas no queden claras;2
Exelente profesor muy unido a sus alumnos;2
el ava no es optimo para su funcion de cocmunicacion de inquietudes con el docente;2
Sin cometarios;2
buen profe;2
se llama pocoyo;2
xd;2
Exelente profe siempre da oportunidades para salvar el ramo a quien lo merece;2
Buen profe;2
Muy buen profesor no aplicada que decir;2
very good;2
Muy buen profesor resuelve todas las Dudas y consultas;2
Bueno aplica Profesora;2
Muy buen profe tiene la paciencia de explicar uno aplica y otr vez si es necesario es estricto sii harto pero eso falta para que algunos alumnos de hagan caso;2
NO SE OCUPA EL AMBIENTE VIRTUAL AVA;2
Excelente miss denle un bono;2
sus clases son como muy relajado eso nomas digo;1
docente muy entusiasta;2
Muy bueno aplica profesora;2
Buen profesor explica con claridad todos los contenidos con la asigno aplicatura;2
Excelente docente;2
sin comentarios gracias;0
Gran profesora y exelente persono aplica;2
profe llanca siempre dispuesto a soluciono aplicar todas las dudas de los estudiantes y a la vez le importa que nosotros aprendamos los contenidos es un ramo dificil y complicado pero aun asi explica bien la materia y demuestra mucho conocimiento;2
Excelente profesor;2
Profesora demuestra un gran dominio de la asigno aplicatura lo cual me permite profundizar las materias aprendidas en semestre anterior;2
Aguante bigote;2
por que si;2
incongruente al momento de evaluar y falta el respeto interrumpiendo al alumno;0
Profesiono aplical didactico y dino aplicamico para explicar sus clases;2
Mala actitud del docentemuy poco aporte para el aprendizaje del alumno;1
Es de aquellos profesores que te motiva aunque te cueste la materia siempre tiene la voluntad de explicar te motiva a aprender;2
muchas pruebas pero nunca hay material en ava para estudiar no envia ppt;0
excelentes clases;2
Very gooooood;2
Ingles siempre con muy buenos Docentes;2
El docente nos trata como sus colegas o ingeniero a mi parecer aun no somos ingenieros nos estamos preparando para ello;1
excelente docente;2
muy buen profesor;2
Resalto que es un profesor con el cual se puede dialogar y llegar a un acuerdo ante las inquietudes de los estudiantes toma medidas de forma inmediata y brinda soluciones;2
Ok;1
La profe mas guapa de todas;2
Profesor atento siempre dispuesto a aclarar las dudas de los alumnos y el facilitar su aprendizaje;2
Un profesor respetuoso pero un poco enredado para explicar la materia antes e las pruebas;2
buen profesor;2
Uno aplica docente muy comprometida con sus alumnos;2
el mejor profe de todos los profes;2
es un buen profesor no aplicada que decir;2
Profe exigente todo el rato;2
